"1boy","1男孩"
"akiteru (akiteru98)","秋照 (akiteru98)"
"akitetsu","秋铁"
"akito (d30n26)","秋户 (d30n26)"
"akito (sub707)","akito (sub707)"
"akitokage","秋影"
"akitsu maru (kancolle)","秋津丸 (kancolle)"
"akitsu maru kai (kancolle)","秋津丸 kai (kancolle)"
"akitsuchi shien","秋土味"
"akitsuki (oenothera)","秋月（月见草）"
"akitsuki itsuki","秋月月"
"akitsuki karasu","秋月乌"
"akitsushima (kancolle)","秋津岛 (kancolle)"
"akiyama cz4a","秋山 cz4a"
"akiyama hayato","秋山隼人"
"akiyama mio","秋山澪"
"akiyama mizuki","秋山水树"
"akiyama rinko","秋山临子"
"akiyama yoshiko","秋山芳子"
"akiyama yukari","秋山由香里"
"akiyasu","秋安"
"akiyoshi (tama-pete)","秋吉 (tama-pete)"
"akizone","秋宗"
"akizora momiji","红叶秋空"
"akizuki (kancolle)","秋月 (kancolle)"
"akizuki akina","秋月秋菜170"
"akizuki ritchan","秋月立灿"
"akizuki ritsuko","秋月律子"
"akizuki ryo","秋月凉"
"akizuki shigure","秋月时雨"
"akke","阿克"
"akkijin","阿奇金"
"akky (akimi1127)","阿奇 (akimi1127)"
"ako (blue archive)","ako（蓝色档案）"
"akou roushi","阿口肉食"
"aks-74u","aks-74u"
"aku (dejigiga)","aku (dejigiga)"
"aku no meshitsukai (vocaloid)","aku no meshitsukai (vocaloid)"
"aku no musume (vocaloid)","aku no musume (vocaloid)"
"akudama drive","akudama 驱动器"
"akujiki59","隼木59"
"akuma","隈研吾"
"akuma (st.takuma)","akuma (st.takuma)"
"akuma (street fighter)","akuma（街头霸王）"
"akuma homura","akuma homura"
"akuma no riddle","恶鬼之谜"
"akuno hideo","久野秀夫"
"akusema","青色"
"akuta hinako","久田雏子"
"akutsu (yuumi)","akutsu (yuumi)"
"al azif","al azif"
"alabama (azur lane)","阿拉巴马州（碧蓝航线）"
"aladdin (disney)","阿拉丁（迪士尼）"
"aladdin (magi)","阿拉丁（魔法师）"
"alakazam","阿拉卡扎姆"
"alakoala","阿拉考拉"
"alarm clock","闹钟"
"alastor (shakugan no shana)","alastor (shakugan no shana)"
"albacore (azur lane)","长鳍金枪鱼（碧蓝航线）"
"albedo (genshin impact)","反照率（原神影响）"
"albedo (overlord)","反照率（霸主）"
"alber","阿尔伯"
"albert wesker","阿尔伯特·威斯克"
"albino","白化病"
"albino (a1b1n0623)","白化病 (a1b1n0623)"
"album cover","专辑封面"
"album cover redraw","专辑封面重绘"
"alchemaniac","炼金术士"
"alchemist (girls' frontline)","炼金术士（少女前线）"
"alchemist (ragnarok online)","炼金术士（仙境传说在线）"
"alchemy","炼金术"
"alchemy stars","炼金星"
"alchera","阿尔切拉"
"alcina dimitrescu","阿尔西娜·迪米特雷斯库"
"alcohol","酒精"
"alcremie","阿尔克雷米"
"alcremie (strawberry sweet)","alcremie（草莓甜味）"
"alcremie (vanilla cream)","alcremie（香草奶油）"
"aldehyde","醛"
"alder (pokemon)","桤木（口袋妖怪）"
"aldnoah.zero","aldnoah.zero"
"aldra (queen's blade)","阿尔德拉（女王之刃）"
"ale (ale halexxx)","麦酒 (ale halexxx)"
"alecto 0","艾克托 0"
"aleksandra i. pokryshkin","亚历山德拉岛波克里什金"
"alena (dq4)","阿莱娜 (dq4)"
"aleriia v","aleriia v"
"alessandra susu","亚历山德拉苏苏"
"alex (alexandoria)","亚历克斯（亚历山大）"
"alex (minecraft)","亚历克斯（我的世界）"
"alex (street fighter)","亚历克斯（街头霸王）"
"alex ahad","亚历克斯阿哈德"
"alexander (fate)","亚历山大（命运）"
"alexander dinh","亚历山大·丁"
"alexi (tits!)","亚历克西（山雀！）"
"alexmaster","亚历克斯马斯特"
"alfonse (fire emblem)","阿方斯（火徽）"
"alfort (may0508)","阿尔福特 (may0508)"
"algerie (azur lane)","阿尔及利亚（碧蓝航线）"
"algerie (white sand paradise) (azur lane)","阿尔及利亚（白沙天堂）（碧蓝航线）"
"ali baba saluja","阿里巴巴萨卢加"
"alia (mega man)","其他（超级男人）"
"alia's carnival!","艾莉亚的狂欢节！"
"aliasing","混叠"
"alice (alice in wonderland)","爱丽丝（爱丽丝梦游仙境）"
"alice (alice in wonderland) (cosplay)","爱丽丝（爱丽丝梦游仙境）（角色扮演）"
"alice (megami tensei)","爱丽丝（megami 紧张）"
"alice (pandora hearts)","爱丽丝（潘多拉之心）"
"alice (queen's gate)","爱丽丝（女王之门）"
"alice (sinoalice)","爱丽丝 (sinoalice)"
"alice (tales)","爱丽丝（故事）"
"alice carroll","爱丽丝卡罗尔"
"alice cartelet","爱丽丝卡特尔"
"alice gear aegis","爱丽丝齿轮宙斯盾"
"alice girls shiny heart","爱丽丝女孩闪亮的心"
"alice in wonderland","爱丽丝梦游仙境"
"alice margatroid","爱丽丝 margatroid"
"alice margatroid (cosplay)","alice margatroid (cosplay)"
"alice margatroid (pc-98)","alice margatroid (pc-98)"
"alice zuberg","爱丽丝·祖伯格"
"alice360","爱丽丝360"
"alice: madness returns","爱丽丝：疯狂回归"
"aliceblue","爱丽丝蓝"
"alicia (granblue fantasy)","艾丽西亚（碧蓝幻想）"
"alicia florence","艾丽西亚佛罗伦萨"
"alicia melchiott","艾丽西娅·梅尔奇奥特"
"alicia renato (yashiro sousaku)","艾丽西亚·雷纳托 (yashiro sousaku)"
"alicia testarossa","艾丽西亚塔罗萨"
"alien","外星人"
"alien (movie)","外星人（电影）"
"alien1452","外星人1452"
"alina (arknights)","阿丽娜（方舟之夜）"
"alina (girls und panzer)","alina（少女与装甲）"
"alina gray","阿丽娜灰色"
"alios arvin","阿利奥斯·阿尔文"
"alipheese fateburn xvi","alipheese fateburn xvi"
"alisa (girls und panzer)","艾丽莎（少女与装甲）"
"alisa boskonovich","艾丽莎·博斯科诺维奇"
"alisa ilinichina amiella","艾丽莎 ilinichina amiella"
"alisa reinford","艾丽莎·莱因福德"
"alisa southerncross","艾丽莎南十字星"
"alisaie leveilleur","艾丽莎·莱维耶尔"
"alisha diphda","艾丽莎·迪夫达"
"alisia0812","alisia0812"
"alison (alison airlines)","艾莉森（艾莉森航空公司）"
"alita","阿丽塔"
"aliza (granblue fantasy)","艾丽莎（碧蓝幻想）"
"alkemanubis","alkemanubis"
"all fours","四肢着地"
"all might","尽一切可能"
"all the way through","一路走来"
"all-out attack","全力进攻"
"allelujah haptism","哈利路亚 haptism"
"allen (makaroll)","艾伦 (makaroll)"
"allen avadonia","艾伦阿瓦多尼亚"
"allen walker","艾伦沃克"
"allenby beardsley","艾伦比比尔兹利"
"allenes","丙二烯"
"alley","胡同"
"alleyne (queen's blade)","alleyne（女王之刃）"
"alligator","鳄鱼"
"allister (pokemon)","阿利斯特（口袋妖怪）"
"alluka zoldyck","alluka zoldyck"
"alm (fire emblem)","alm（火徽）"
"alma armas","阿尔玛武器"
"almeida (granblue fantasy)","阿尔梅达（碧蓝幻想）"
"almic","almic"
"aloe (kenkou3733)","芦荟 (kenkou3733)"
"aloe (quiz magic academy)","芦荟（测验魔术学院）"
"alolan exeggutor","阿罗拉 exeggutor"
"alolan marowak","阿罗兰马洛瓦克"
"alolan meowth","阿罗兰喵喵"
"alolan ninetales","阿罗兰九故事"
"alolan raichu","阿罗兰·雷丘"
"alolan vulpix","阿罗兰 vulpix"
"alp","阿尔卑斯山"
"alpaca","羊驼"
"alpaca ears","羊驼耳朵"
"alpaca girl","羊驼女孩"
"alpaca suri (kemono friends)","羊驼 suri (kemono 朋友)"
"alpaca tail","羊驼尾巴"
"alpha (alpha91)","阿尔法 (alpha91)"
"alpha (yukai na nakamatachi)","阿尔法（yukai na nakamatachi）"
"alpha pokemon","阿尔法口袋妖怪"
"alpha signature","字母签名"
"alpha transparency","阿尔法透明度"
"alphard (canaan)","星宿 (迦南)"
"alphes (style)","alphes (风格)"
"alphinaud leveilleur","阿尔菲诺 leveilleur"
"alphonse (white datura)","alphonse（白曼陀罗）"
"alphonse elric","阿尔方斯·埃里克"
"alphy","阿尔菲"
"alphys","alphys"
"alracoco","阿拉可可"
"alraune","alraune"
"altair (re:creators)","altair (re:creators)"
"altair ibn la-ahad","altair ibn la-ahad"
"altar","祭坛"
"altaria","阿尔塔利亚"
"alter servant","改变仆人"
"altera (fate)","改变（命运）"
"altera moontail","阿尔特拉月尾"
"altera the santa (fate)","Altera the santa (命运)"
"alternate breast size","备用乳房尺寸"
"alternate color","备用颜色"
"alternate color school swimsuit","备用颜色学校泳衣"
"alternate costume","替代服装"
"alternate design","替代设计"
"alternate element","替代元素"
"alternate eye color","备用眼睛颜色"
"alternate facial hair","交替的面部毛发"
"alternate footwear","替代鞋类"
"alternate form","替代形式"
"alternate hair color","备用发色"
"alternate hair length","备用头发长度"
"alternate hair ornament","备用发饰"
"alternate hairstyle","备用发型"
"alternate headwear","备用头饰"
"alternate height","备用高度"
"alternate language","替代语言"
"alternate legwear","备用裤袜"
"alternate muscle size","交替肌肉大小"
"alternate pectoral size","交替胸围"
"alternate shiny pokemon","交替闪亮的口袋妖怪"
"alternate size","备用尺寸"
"alternate skin color","备用肤色"
"alternate sleeve length","交替袖长"
"alternate universe","平行宇宙"
"alternate weapon","替代武器"
"alternate wings","备用机翼"
"alternative girls","另类女孩"
"altina orion","阿尔蒂娜猎户座"
"alto seneka","中音塞内卡"
"alto-00","中音-00"
"altronage","冒险"
"alucard (castlevania)","alucard (恶魔城)"
"alucard (hellsing)","alucard（地狱）"
"aluce","卢斯"
"alvin (tales)","阿尔文（故事）"
"alzano school uniform","阿尔扎诺校服"
"alzi xiaomi","阿尔兹小米"
"ama mitsuki","天三月"
"ama usa an uniform","ama usa 制服"
"ama-tou","阿马头"
"amaa (chou dennou jidai)","amaa (chou dennou jidai)"
"amada ken","天田健"
"amae koromo","前科罗莫"
"amagaeru (amapippi052525)","amagaeru (amapippi052525)"
"amagaeru (hylathewet)","amagaeru (hylathewet)"
"amagai tarou","天井芋头"
"amagai yukino","天井雪乃"
"amagami","天神"
"amagamido","天神堂"
"amagasa yun","阿笠云"
"amagase touma","天濑当麻"
"amagi (amagi626)","天城 (amagi626)"
"amagi (azur lane)","天城（碧蓝航线）"
"amagi (kancolle)","天城 (kancolle)"
"amagi (volfuji)","天城（伏富士）"
"amagi (wending waters serene lotus) (azur lane)","天城（文定水静莲花）（碧蓝航线）"
"amagi brilliant park","天城辉煌公园"
"amagi kai (kancolle)","天城改（kancolle）"
"amagi shino","天城筱"
"amagi yukiko","天城由纪子"
"amagi-chan (azur lane)","天城酱（碧蓝航线）285"
"amagiri (kancolle)","天雾 (kancolle)"
"amaguchi chiyoko","天口千代子"
"amaha masane","阿马哈马萨内"
"amahane madoka","天花小圆"
"amahara subaru","天原斯巴鲁"
"amai nekuta","amai nekuta"
"amaichi esora","amaichi esora"
"amairo islenauts","amairo islenauts"
"amajiki tamaki","天治玉木"
"amakano ~second season~","天野～第二季～"
"amakara surume","amakara surume"
"amakura (am as)","天仓（作为）"
"amakura mayu","天仓麻友"
"amakura mio","天仓澪"
"amakusa (hidorozoa)","天草（hidorozoa）"
"amakusa juuza","天草十座"
"amakusa shirou (fate)","天草四郎（命运）463"
"amakusa tobari","天草户张"
"amami amayu","奄美天友"
"amami haruka","奄美遥"
"amami rantarou","奄美乱太郎"
"amamine","胺"
"amamitsu kousuke","天光幸介"
"amamiya (abaros)","amamiya (abaros)"
"amamiya chiharu","雨宫千春"
"amamiya erena","天宫erena"
"amamiya hibiya","amamiya 日比谷"
"amamiya kokoro","雨宫心"
"amamiya manami","天宫真奈美"
"amamiya minato","天宫凑"
"amamiya ren","天宫仁"
"amamiya yuuko","天宫优子116"
"amana (pocketkey)","阿马纳（袖珍钥匙）"
"amanagi seiji","天城征司"
"amanda o'neill","阿曼达·奥尼尔"
"amane (dream c club)","amane (dream c 俱乐部)"
"amane hasuhito","天音莲人"
"amane kanata","苋菜 2962"
"amane kurumi","天籁久留美"
"amane misa","天籁美沙"
"amane ruri","天籁琉璃"
"amane sora","天籁"
"amane sou","阿曼苏"
"amane suzuha","天音铃叶"
"amania orz","躁狂症 orz"
"amano chiharu","天野千春"
"amano don","天野堂"
"amano hagoromo","天野羽衣"
"amano hina (tenki no ko)","天野雏 (tenki no ko)"
"amano jack","天野千斤顶"
"amano keita","天野凯太"
"amano kouki","天野幸喜"
"amano kozue","天野kozue"
"amano kusatsu","天野草津"
"amano maya","天野玛雅"
"amano megumi","天野惠"
"amano megumi wa suki darake!","天野惠 wa suki darake!"
"amano pikamee","天野 pikamee"
"amano tora","天野虎"
"amano yo-ki","天野洋气"
"amano yukiteru","天野幸辉"
"amanogawa kirara","天野川kirara"
"amaretto (girls und panzer)","杏仁（女孩和装甲）"
"amaryllis gumi","阿玛丽利斯古米"
"amasa mitsunaru","天正光辉"
"amasaki yusuke","天崎佑介"
"amasawa natsuhisa","天泽夏久"
"amasawa yuuko","天泽优子"
"amashiro natsuki","天城夏树"
"amasora taichi","天空太极"
"amatari sukuzakki","amatari sukuzakki"
"amaterasu (ookami)","天照大神 (ookami)"
"amatori chika","amatori chika"
"amatsuka mao","松香毛"
"amatsuka megumi (gj-bu)","amatsuka megumi (gj-bu)"
"amatsuka uto","松香汽车"
"amatsukaze (kancolle)","松风（kancolle）"
"amatsukaze (kancolle) (cosplay)","amatsukaze (kancolle) (cosplay)"
"amau (kosmos)","阿毛（宇宙）"
"amaya haruko","雨谷春子"
"amayadori machi","天通町"
"amayadori-tei","天通亭"
"amazon (company)","亚马逊（公司）"
"amazon (dragon's crown)","亚马逊（龙冠）"
"amazon (taitaitaira)","亚马逊 (taitaitaira)"
"amazon position","亚马逊位置"
"amazuki jou","天月城"
"amazuyu tatsuki","天津龙树687"
"amber (genshin impact)","琥珀（原神影响）"
"ambience synesthesia","环境联觉"
"ambiguous gender","性别模糊"
"ambiguous red liquid","暧昧的红色液体"
"ambriel (arknights)","安布里尔（方舟之夜）"
"ambulance","救护车"
"ame (ame025)","我 (ame025)"
"ame 816","我是 816"
"ame no kisaki academy uniform","ame no kisaki 学院制服"
"ame to kimi to","ame to kimi to"
"ame usako","美宇子"
"ame yamori","かかるり"
"ame-chan (needy girl overdose)","ame-chan（有需要的女孩过量）"
"ame-san","阿美"
"ame.","美国"
"amedamacon","艾美麦肯"
"amei sumeru","阿美须弥"
"amekosame","小雨"
"amelia wil tesla seyruun","阿米莉亚·威尔·特斯拉·塞鲁恩"
"amelie planchard","阿梅莉普兰查德"
"amemiya nazuna","amemiya nazuna"
"amemiya ruki","雨宫 ruki"
"amemiya sekira","雨宫关"
"amemiya taiyou","雨宫太阳"
"amemura ramuda","amemura ramuda"
"ameno (a meno0)","ameno (a meno0)"
"ameno shigure","ameno shigure"
"america","美国"
"america (hetalia)","美国（黑塔利亚）"
"american beaver (kemono friends)","美国海狸 (kemono 朋友)"
"american flag","美国国旗"
"american flag bikini","美国国旗比基尼"
"american flag dress","美国国旗连衣裙"
"american flag legwear","美国国旗裤装"
"american flag panties","美国国旗内裤"
"american flag pants","美国国旗裤"
"american flag print","美国国旗印花"
"american flag shirt","美国国旗衬衫"
"american football","美式足球"
"american football (object)","美式足球（对象）"
"american football helmet","美式橄榄球头盔"
"american football uniform","美式足球制服"
"american mcgee's alice","美国麦吉的爱丽丝"
"amesawa mokke","雨泽木克"
"amestris military uniform","amestris 军装"
"ametama (runarunaruta5656)","ametama (runarunaruta5656)"
"ameth (princess connect!)","ameth（公主连接！）"
"ameto yuki","阿梅托由纪"
"ameya nihachi","阿弥亚二八"
"ameyama denshin","雨山电心"
"ameyu (rapon)","ameyu (rapon)"
"amezawa koma","雨泽驹"
"amg (nwmnmllf)","amg (nwmnmllf)"
"ami (orenchi no maidosan)","ami (orenchi no maidosan)"
"amibazh","阿米巴日"
"amicis","法庭之友"
"amifumi inko","amifumi inko"
"amii","阿米"
"amimi","阿米米"
"amino (tn7135)","氨基 (tn7135)"
"amira (shingeki no bahamut)","阿米拉（shingeki no bahamut）"
"amisu","阿米苏"
"amitie (puyopuyo)","阿米蒂 (puyopuyo)"
"amity blight","友情枯萎"
"amiya (arknights)","阿米娅 (arknights)"
"amiya (guard) (arknights)","阿米娅（守卫）（方舟）"
"ammunition","弹药"
"ammunition belt","弹药带"
"ammunition box","弹药箱"
"ammunition pouch","弹药袋"
"amnesia (idea factory)","失忆症（创意工厂）"
"amo (shibu3)","amo (shibu3)"
"amog","阿莫格"
"among us","在我们中间"
"amonitto","阿蒙尼托"
"amos' bow (genshin impact)","阿莫斯弓（原神冲击）"
"amou kanade","amou kanade"
"ampharos","双耳瓶"
"amphibia","两栖动物"
"amplifier","放大器"
"amputee","截肢者"
"amulet","护身符"
"amulet heart","护身符之心"
"amuro ray","阿姆罗雷"
"amuro tooru","安室透"
"amusement park","游乐园"
"amy (suisei no gargantia)","艾米 (suisei no gargantia)"
"amy rose","艾米玫瑰"
"amy sorel","艾米索雷尔"
"an yasuri","安雅苏里"
"an-94","安-94"
"an-94 (girls' frontline)","an-94（少女前线）"
"an-94 (silent rouge) (girls' frontline)","an-94（沉默胭脂）（少女前线）"
"an-telin","安泰林"
"an2a","安2a"
"ana (overwatch)","安娜（守望先锋）"
"ana (rznuscrf)","安娜 (rznuscrf)"
"ana coppola","安娜·科波拉"
"anabel (pokemon)","安娜贝尔（宠物小精灵）"
"anabone","Anabone"
"anabuki tomoko","穴吹智子"
"anachronism","时代错误"
"anagumasan","anagumasan"
"anakin skywalker","阿纳金天行者"
"anal","肛门"
"anal ball wear","肛门球磨损"
